Date;Close;Closure_Daily_exp;Closure_Weekly_exp;Closure_Monthly_exp;MM_Daily_20_exp;MM_Weekly_20_exp;MM_Monthly_20_exp;MoM_Daily_10_exp;MoM_Weekly_10_exp;MoM_Monthly_10_exp;MoM_Monthly_5_exp;MoM_Monthly_1_exp;MoM_Monthly_1-5-10_exp;RSI_Daily_21_exp;RSI_Weekly_21_exp;RSI_Monthly_21_exp
2017-01-03;203.7880;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-04;205.0004;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-05;204.8376;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-06;205.5704;TRUE;TRUE;FALSE;;;;;;;;;;;;
2017-01-09;204.8918;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-10;204.8918;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-11;205.4709;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-12;204.9552;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-13;205.4257;TRUE;TRUE;FALSE;;;;;;;;;;;;
2017-01-17;204.7019;TRUE;FALSE;FALSE;;;;;;;;;;;;
2017-01-18;205.1542;TRUE;FALSE;FALSE;;;;0.6704;;;;;;;;
2017-01-19;204.3942;TRUE;FALSE;FALSE;;;;-0.2957;;;;;;;;
2017-01-20;205.1452;TRUE;TRUE;FALSE;;;;0.1502;;;;;;;;
2017-01-23;204.6114;TRUE;FALSE;FALSE;;;;-0.4665;;;;;;;;
2017-01-24;205.9233;TRUE;FALSE;FALSE;;;;0.5034;;;;;;;;
2017-01-25;207.7056;TRUE;FALSE;FALSE;;;;1.3733;;;;;;;;
2017-01-26;207.4885;TRUE;FALSE;FALSE;;;;0.9819;;;;;;;;
2017-01-27;207.1628;TRUE;TRUE;FALSE;;;;1.0771;;;;;;;;
2017-01-30;205.8781;TRUE;FALSE;FALSE;;;;0.2202;;;;;;;;
2017-01-31;205.8599;TRUE;FALSE;TRUE;205.4428;;;0.5657;;;;;;;;
2017-02-01;205.9414;TRUE;FALSE;FALSE;205.5505;;;0.3837;;;;;;;;
2017-02-02;206.0771;TRUE;FALSE;FALSE;205.6044;;;0.8234;;;;;;58.9910;;
2017-02-03;207.4976;TRUE;TRUE;FALSE;205.7374;;;1.1467;;;;;;59.6506;;
2017-02-06;207.1266;TRUE;FALSE;FALSE;205.8152;;;1.2293;;;;;;58.7059;;
2017-02-07;207.1357;TRUE;FALSE;FALSE;205.9274;;;0.5888;;;;;;56.3003;;
2017-02-08;207.4071;TRUE;FALSE;FALSE;206.0531;;;-0.1437;;;;;;60.4671;;
2017-02-09;208.6376;TRUE;FALSE;FALSE;206.2115;;;0.5538;;;;;;64.1396;;
2017-02-10;209.4609;TRUE;TRUE;FALSE;206.4367;;;1.1093;;;;;;64.7887;;
2017-02-13;210.6009;TRUE;FALSE;FALSE;206.6955;;;2.2940;;;;;;69.9999;;
2017-02-14;211.4423;TRUE;FALSE;FALSE;207.0325;;;2.7117;;;;;;70.7681;;
2017-02-15;212.5461;TRUE;FALSE;FALSE;207.4021;;;3.2071;;;;;;76.3844;;
2017-02-16;212.3651;TRUE;FALSE;FALSE;207.8007;;;3.0513;;;;;;74.7052;;
2017-02-17;212.6999;TRUE;TRUE;FALSE;208.1784;;;2.5072;;;;;;79.3100;;
2017-02-21;213.9666;TRUE;FALSE;FALSE;208.6462;;;3.3023;;;;;;80.0366;;
2017-02-22;213.7766;TRUE;FALSE;FALSE;209.0388;;;3.2061;;;;;;81.9554;;
2017-02-23;213.9214;TRUE;FALSE;FALSE;209.3496;;;3.1408;;;;;;80.3568;;
2017-02-24;214.1928;TRUE;TRUE;FALSE;209.6848;;;2.6626;;;;;;77.8120;;
2017-02-27;214.5276;TRUE;FALSE;FALSE;210.0531;;;2.4189;;;;;;79.8766;;
2017-02-28;213.9485;TRUE;FALSE;TRUE;210.4566;;;1.5895;;;;3.9292;3.9292;78.1946;;
2017-03-01;216.9432;TRUE;FALSE;FALSE;211.0108;;;2.6016;;;;3.9292;3.9292;90.2552;;
2017-03-02;215.5771;TRUE;FALSE;FALSE;211.4925;;;1.4260;;;;3.9292;3.9292;82.1941;;
2017-03-03;215.7128;TRUE;TRUE;FALSE;211.9743;;;1.5764;;;;3.9292;3.9292;82.2578;;
2017-03-06;215.0704;TRUE;FALSE;FALSE;212.3530;;;1.1145;;;;3.9292;3.9292;78.7280;;
2017-03-07;214.4280;TRUE;FALSE;FALSE;212.7180;;;0.2156;;;;3.9292;3.9292;73.2964;;
2017-03-08;214.0299;TRUE;FALSE;FALSE;213.0627;;;0.1185;;;;3.9292;3.9292;73.1631;;
2017-03-09;214.3014;TRUE;FALSE;FALSE;213.4075;;;0.1776;;;;3.9292;3.9292;73.6275;;
2017-03-10;215.0523;TRUE;TRUE;FALSE;213.7282;;;0.4013;;;;3.9292;3.9292;74.4359;;
2017-03-13;215.1609;TRUE;FALSE;FALSE;214.0132;;;0.2952;;;;3.9292;3.9292;72.4608;;
2017-03-14;214.3376;TRUE;FALSE;FALSE;214.2000;;;0.1819;;;;3.9292;3.9292;66.7913;;
2017-03-15;216.1923;TRUE;FALSE;FALSE;214.4375;;;-0.3461;;;;3.9292;3.9292;68.3491;;
2017-03-16;215.7670;TRUE;FALSE;FALSE;214.5986;;;0.0881;;;;3.9292;3.9292;64.5907;;
2017-03-17;215.3881;TRUE;TRUE;FALSE;214.7497;;;-0.1505;4.7758;;;3.9292;3.9292;60.0814;;
2017-03-20;215.1519;TRUE;FALSE;FALSE;214.8723;;;0.0379;4.7758;;;3.9292;3.9292;59.8471;;
2017-03-21;212.3894;TRUE;FALSE;FALSE;214.7935;;;-0.9507;4.7758;;;3.9292;3.9292;49.0635;;
2017-03-22;212.8892;TRUE;FALSE;FALSE;214.7491;;;-0.5330;4.7758;;;3.9292;3.9292;46.5929;;
2017-03-23;212.6620;TRUE;FALSE;FALSE;214.6861;;;-0.7650;4.7758;;;3.9292;3.9292;46.4836;;
2017-03-24;212.5076;TRUE;TRUE;FALSE;214.6019;;;-1.1833;3.4474;;;3.9292;3.9292;45.5423;;
2017-03-27;212.2895;TRUE;FALSE;FALSE;214.4900;;;-1.3345;3.4474;;;3.9292;3.9292;43.9787;;
2017-03-28;213.8343;TRUE;FALSE;FALSE;214.4842;;;-0.2348;3.4474;;;3.9292;3.9292;47.9626;;
