Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp;Closure_Daily;Closure_Weekly;Closure_Monthly;MM_Daily_20;MM_Weekly_20;MM_Monthly_20
1993-01-29;43.938;;;;;;;;;;True;True;True;;;
1993-02-01;44.25;;;;;;;;;;True;False;False;;;
1993-02-02;44.34375;;;;;;;;;;True;False;False;;;
1993-02-03;44.8125;;;;;;;;;;True;False;False;;;
1993-02-04;45.0;;;;;;;;;;True;False;False;;;
1993-02-05;44.96875;;;;;;;;;;True;True;False;;;
1993-02-08;44.96875;;;;;;;;;;True;False;False;;;
1993-02-09;44.65625;;;;;;;;;;True;False;False;;;
1993-02-10;44.71875;;;;;;;;;;True;False;False;;;
1993-02-11;44.9375;;;;;;;;;;True;False;False;;;
1993-02-12;44.59375;;0.65575;;;;;;;;True;True;False;;;
1993-02-16;43.46875;;-0.78125;;;;;;;;True;False;False;;;
1993-02-17;43.4375;;-0.90625;;;;;;;;True;False;False;;;
1993-02-18;43.40625;;-1.40625;;;;;;;;True;False;False;;;
1993-02-19;43.5625;;-1.4375;;;;;;;;True;True;False;;;
1993-02-22;43.71875;;-1.25;;;;;;;;True;False;False;;;
1993-02-23;43.6875;;-1.28125;;;;;;;;True;False;False;;;
1993-02-24;44.25;;-0.40625;;;;;;;;True;False;False;;;
1993-02-25;44.34375;;-0.375;;;;;;;;True;False;False;;;
1993-02-26;44.40625;44.2734625;-0.53125;;;;;;;;True;True;True;44.2734625;;
1993-03-01;44.28125;44.290625;-0.3125;;;;;;;;True;False;False;44.290625;;
1993-03-02;44.9375;44.325;1.46875;59.87258001;;;;;;;True;False;False;44.325;;
1993-03-03;45.125;44.3640625;1.6875;61.37481876;;;;;;;True;False;False;44.3640625;;
1993-03-04;44.875;44.3671875;1.46875;58.31827627;;;;;;;True;False;False;44.3671875;;
1993-03-05;44.75;44.3546875;1.1875;56.83235709;;;;;;;True;True;False;44.3546875;;
1993-03-08;45.75;44.39375;2.03125;64.44261837;;;;;;;True;False;False;44.39375;;
1993-03-09;45.59375;44.425;1.90625;62.6311087;;;;;;;True;False;False;44.425;;
1993-03-10;45.6875;44.4765625;1.4375;63.28137969;;;;;;;True;False;False;44.4765625;;
1993-03-11;45.5625;44.51875;1.21875;61.77638592;;;;;;;True;False;False;44.51875;;
1993-03-12;45.09375;44.5265625;0.6875;56.48674848;;;;;;;True;True;False;44.5265625;;
1993-03-15;45.3125;44.5625;1.03125;58.23889906;;;;;;;True;False;False;44.5625;;
1993-03-16;45.3125;44.6546875;0.375;58.23889906;;;;;;;True;False;False;44.6546875;;
1993-03-17;45.03125;44.734375;-0.09375;55.09420172;;;;;;;True;False;False;44.734375;;
1993-03-18;45.3125;44.8296875;0.4375;57.50359234;;;;;;;True;False;False;44.8296875;;
1993-03-19;45.03125;44.903125;0.28125;54.43678455;;;;;;;True;True;False;44.903125;;
1993-03-22;44.78125;44.95625;-0.96875;51.85557189;;;;;;;True;False;False;44.95625;;
1993-03-23;44.875;45.015625;-0.71875;52.73796938;;;;;;;True;False;False;45.015625;;
1993-03-24;44.875;45.046875;-0.8125;52.73796938;;;;;;;True;False;False;45.046875;;
1993-03-25;45.15625;45.0875;-0.40625;55.43925514;;;;;;;True;False;False;45.0875;;
1993-03-26;44.90625;45.1125;-0.1875;52.63161389;;;;;;;True;True;False;45.1125;;
1993-03-29;45.09375;45.153125;-0.21875;54.44829792;;;;;;;True;False;False;45.153125;;
1993-03-30;45.21875;45.1671875;-0.09375;55.6392325;;;;;;;True;False;False;45.1671875;;
1993-03-31;45.1875;45.1703125;0.15625;55.25998444;;;;;;;True;False;True;45.1703125;;
1993-04-01;45.03125;45.178125;-0.28125;53.35082299;;;;;;;True;False;False;45.178125;;
1993-04-02;44.09375;45.1453125;-0.9375;43.8143313;;;;;;;True;True;False;45.1453125;;
1993-04-05;44.3125;45.0734375;-0.46875;46.17168308;;0.34325;;;;;True;False;False;45.0734375;;
1993-04-06;44.1875;45.003125;-0.6875;45.03790445;;0.34325;;;;;True;False;False;45.003125;;
1993-04-07;44.34375;44.9359375;-0.53125;46.75399003;;0.34325;;;;;True;False;False;44.9359375;;
1993-04-08;44.28125;44.871875;-0.875;46.14880881;;0.34325;;;;;True;True;False;44.871875;;
1993-04-12;44.90625;44.8625;;52.59208726;;-0.03125;;;;;True;False;False;44.8625;;
1993-04-13;45.0;44.846875;-0.09375;53.4689567;;-0.03125;;;;;True;False;False;44.846875;;
1993-04-14;44.9375;44.828125;-0.28125;52.7855221;;-0.03125;;;;;True;False;False;44.828125;;
1993-04-15;44.9375;44.8234375;-0.25;52.7855221;;-0.03125;;;;;True;False;False;44.8234375;;
1993-04-16;44.9375;44.8046875;-0.09375;52.7855221;;-0.03125;;;;;True;True;False;44.8046875;;
1993-04-19;44.75;44.790625;0.65625;50.54196798;;-0.84375;;;;;True;False;False;44.790625;;
1993-04-20;44.53125;44.778125;0.21875;48.04066211;;-0.84375;;;;;True;False;False;44.778125;;
1993-04-21;44.5;44.759375;0.3125;47.68666245;;-0.84375;;;;;True;False;False;44.759375;;
1993-04-22;43.9375;44.7125;-0.40625;41.85723152;;-0.84375;;;;;True;False;False;44.7125;;
1993-04-23;43.75;44.6421875;-0.53125;40.13982634;;-0.84375;;;;;True;True;False;44.6421875;;
1993-04-26;43.40625;44.5671875;-1.5;37.20154124;;0.46875;;;;;True;False;False;44.5671875;;
1993-04-27;43.875;44.50625;-1.125;43.15908669;;0.46875;;;;;True;False;False;44.50625;;
1993-04-28;43.78125;44.434375;-1.15625;42.31605701;;0.46875;;;;;True;False;False;44.434375;;
1993-04-29;43.96875;44.3734375;-0.96875;44.58898673;;0.46875;;;;;True;False;False;44.3734375;;
1993-04-30;44.03125;44.3234375;-0.90625;45.34277041;;0.46875;;;;;True;True;True;44.3234375;;
1993-05-03;44.3125;44.334375;-0.4375;48.64377082;;-0.0625;;;;;True;False;False;44.334375;;
1993-05-04;44.46875;44.3421875;-0.0625;50.39148723;;-0.0625;;;;;True;False;False;44.3421875;;
1993-05-05;44.59375;44.3625;0.09375;51.77019625;;-0.0625;;;;;True;False;False;44.3625;;
1993-05-06;44.4375;44.3671875;0.5;49.94824823;;-0.0625;;;;;True;False;False;44.3671875;;
1993-05-07;44.34375;44.3703125;0.59375;48.86483738;;-0.0625;;;;;True;True;False;44.3703125;;
1993-05-10;44.4375;44.346875;1.03125;50.00351732;;-0.75;;;;;True;False;False;44.346875;;
1993-05-11;44.625;44.328125;0.75;52.23705076;;-0.75;;;;;True;False;False;44.328125;;
1993-05-12;44.5625;44.309375;0.78125;51.43285517;;-0.75;;;;;True;False;False;44.309375;;
1993-05-13;44.03125;44.2640625;0.0625;45.21961527;;-0.75;;;;;True;False;False;44.2640625;;
