Date;Close;MM_Daily_20_exp;MoM_Daily_10_exp;RSI_Daily_21_exp;MM_Weekly_20_exp;MoM_Weekly_10_exp;RSI_Weekly_21_exp;MM_Monthly_20_exp;MoM_Monthly_10_exp;RSI_Monthly_21_exp
29/01/1993;43.938;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
01/02/1993;44.25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/02/1993;44.34375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
03/02/1993;44.8125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
04/02/1993;45;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
05/02/1993;44.96875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
08/02/1993;44.96875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
09/02/1993;44.65625;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
10/02/1993;44.71875;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
11/02/1993;44.9375;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
12/02/1993;44.59375;NaN;0.65575;NaN;NaN;NaN;NaN;NaN;NaN;NaN
16/02/1993;43.46875;NaN;-0.78125;NaN;NaN;NaN;NaN;NaN;NaN;NaN
17/02/1993;43.4375;NaN;-0.90625;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18/02/1993;43.40625;NaN;-1.40625;NaN;NaN;NaN;NaN;NaN;NaN;NaN
19/02/1993;43.5625;NaN;-1.4375;NaN;NaN;NaN;NaN;NaN;NaN;NaN
22/02/1993;43.71875;NaN;-1.25;NaN;NaN;NaN;NaN;NaN;NaN;NaN
23/02/1993;43.6875;NaN;-1.28125;NaN;NaN;NaN;NaN;NaN;NaN;NaN
24/02/1993;44.25;NaN;-0.40625;NaN;NaN;NaN;NaN;NaN;NaN;NaN
25/02/1993;44.34375;NaN;-0.375;NaN;NaN;NaN;NaN;NaN;NaN;NaN
26/02/1993;44.40625;44.2734625;-0.53125;NaN;NaN;NaN;NaN;NaN;NaN;NaN
01/03/1993;44.28125;44.290625;-0.3125;NaN;NaN;NaN;NaN;NaN;NaN;NaN
02/03/1993;44.9375;44.325;1.46875;59.87258001;NaN;NaN;NaN;NaN;NaN;NaN
03/03/1993;45.125;44.3640625;1.6875;61.37481876;NaN;NaN;NaN;NaN;NaN;NaN
04/03/1993;44.875;44.3671875;1.46875;58.31827627;NaN;NaN;NaN;NaN;NaN;NaN
05/03/1993;44.75;44.3546875;1.1875;56.83235709;NaN;NaN;NaN;NaN;NaN;NaN
08/03/1993;45.75;44.39375;2.03125;64.44261837;NaN;NaN;NaN;NaN;NaN;NaN
09/03/1993;45.59375;44.425;1.90625;62.6311087;NaN;NaN;NaN;NaN;NaN;NaN
10/03/1993;45.6875;44.4765625;1.4375;63.28137969;NaN;NaN;NaN;NaN;NaN;NaN
11/03/1993;45.5625;44.51875;1.21875;61.77638592;NaN;NaN;NaN;NaN;NaN;NaN
12/03/1993;45.09375;44.5265625;0.6875;56.48674848;NaN;NaN;NaN;NaN;NaN;NaN
15/03/1993;45.3125;44.5625;1.03125;58.23889906;NaN;NaN;NaN;NaN;NaN;NaN
16/03/1993;45.3125;44.6546875;0.375;58.23889906;NaN;NaN;NaN;NaN;NaN;NaN
17/03/1993;45.03125;44.734375;-0.09375;55.09420172;NaN;NaN;NaN;NaN;NaN;NaN
18/03/1993;45.3125;44.8296875;0.4375;57.50359234;NaN;NaN;NaN;NaN;NaN;NaN
19/03/1993;45.03125;44.903125;0.28125;54.43678455;NaN;NaN;NaN;NaN;NaN;NaN
22/03/1993;44.78125;44.95625;-0.96875;51.85557189;NaN;NaN;NaN;NaN;NaN;NaN
